cenario,modulo,datahora_sinal,datahora_entrada,datahora_saida,direcao,take,stop,pontos,resultado
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-04-14 10:30:00,2025-04-14 10:32:00,2025-04-14 10:40:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-04-20 20:58:00,2025-04-20 21:00:00,2025-04-20 21:20:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-21 03:48:00,2025-04-21 03:50:00,2025-04-21 08:24:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-22 03:48:00,2025-04-22 03:50:00,2025-04-22 03:54:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-04-23 20:58:00,2025-04-23 21:00:00,2025-04-24 01:14:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-04-28 03:48:00,2025-04-28 03:50:00,2025-04-28 06:52:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-04-28 10:30:00,2025-04-28 10:32:00,2025-04-28 10:42:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-04-30 20:58:00,2025-04-30 21:00:00,2025-05-01 00:34:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-05-05 10:30:00,2025-05-05 10:32:00,2025-05-05 10:56:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-05-06 03:48:00,2025-05-06 03:50:00,2025-05-06 05:20:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-05-07 20:58:00,2025-05-07 21:00:00,2025-05-07 21:56:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-05-14 20:58:00,2025-05-14 21:00:00,2025-05-15 05:04:00,BUY,45.5,117.0,-117.0,STOP
